name,position,dob,nationality,kit
WojciechSzczesny,Goalkeeper,"Apr18,1990(29)",Poland,1
MattiaPerin,Goalkeeper,"Nov10,1992(26)",Italy,37
GianluigiBuffon,Goalkeeper,"Jan28,1978(41)",Italy,77
CarloPinsoglio,Goalkeeper,"Mar16,1990(29)",Italy,31
MatthijsdeLigt,Centre-Back,"Aug12,1999(20)",Netherlands,4
LeonardoBonucci,Centre-Back,"May1,1987(32)",Italy,19
DanieleRugani,Centre-Back,"Jul29,1994(25)",Italy,24
MerihDemiral,Centre-Back,"Mar5,1998(21)",Turkey,28
GiorgioChiellini,Centre-Back,"Aug14,1984(35)",Italy,3
AlexSandro,Left-Back,"Jan26,1991(28)",Brazil,12
Danilo,Right-Back,"Jul15,1991(28)",Brazil,13
MattiaDeSciglio,Right-Back,"Oct20,1992(27)",Italy,2
EmreCan,DefensiveMidfield,"Jan12,1994(25)",Germany,23
MiralemPjanic,CentralMidfield,"Apr2,1990(29)",Bosnia-Herzegovina,5
AaronRamsey,CentralMidfield,"Dec26,1990(28)",Wales,8
AdrienRabiot,CentralMidfield,"Apr3,1995(24)",France,25
RodrigoBentancur,CentralMidfield,"Jun25,1997(22)",Uruguay,30
BlaiseMatuidi,CentralMidfield,"Apr9,1987(32)",France,14
SamiKhedira,CentralMidfield,"Apr4,1987(32)",Germany,6
CristianoRonaldo,LeftWinger,"Feb5,1985(34)",Portugal,7
MarkoPjaca,LeftWinger,"May6,1995(24)",Croatia,15
FedericoBernardeschi,RightWinger,"Feb16,1994(25)",Italy,33
DouglasCosta,RightWinger,"Sep14,1990(29)",Brazil,11
JuanCuadrado,RightWinger,"May26,1988(31)",Colombia,16
PauloDybala,SecondStriker,"Nov15,1993(25)",Argentina,10
GonzaloHiguaín,Centre-Forward,"Dec10,1987(31)",Argentina,21
MarioMandzukic,Centre-Forward,"May21,1986(33)",Croatia,17
